Date,Event,Sequence
01/01/2021,打开首页,1
01/01/2021,输入出发地,1
01/01/2021,输入目的地,1
01/01/2021,选择日期,1
01/01/2021,确定乘客,1
01/01/2021,下单,1
01/01/2021,支付成功,1
01/01/2021,打开首页,2
01/01/2021,选择日期,2
01/01/2021,选择出发地,2
01/01/2021,选择目的地,2
01/01/2021,确定乘客,2
01/01/2021,下单,2
01/01/2021,支付成功,2
01/01/2021,打开首页,3
01/01/2021,选择日期,3
01/01/2021,选择出发地,3
01/01/2021,选择目的地,3
01/01/2021,确定乘客,3
01/01/2021,更换上铺,3
01/01/2021,下单,3
01/01/2021,支付成功,3
01/01/2021,打开首页,4
01/01/2021,选择日期,4
01/01/2021,选择出发地,4
01/01/2021,选择目的地,4
01/01/2021,确定乘客,4
01/01/2021,更换中铺,4
01/01/2021,下单,4
01/01/2021,支付成功,4
01/01/2021,打开首页,5
01/01/2021,选择日期,5
01/01/2021,选择出发地,5
01/01/2021,选择目的地,5
01/01/2021,确定乘客,5
01/01/2021,更换下铺,5
01/01/2021,下单,5
01/01/2021,支付成功,5
01/01/2021,打开首页,6
01/01/2021,确定乘客,6
01/01/2021,下单,6
01/01/2021,支付成功,6
01/01/2021,打开首页,7
01/01/2021,选择日期,7
01/01/2021,选择出发地,7
01/01/2021,选择目的地,7
01/01/2021,确定乘客,7
01/01/2021,更换下铺,7
01/01/2021,候补,7
