id	text
1	> SELECT: Pickup > CLICK > HOVER > CLICK > CLICK > TYPE: laptop > CLICK > HOVER > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Brooklyn Central > CLICK > CLICK > TYPE: Concord > CLICK > TYPE: 1234 > CLICK > CLICK > TYPE: Boston > CLICK > CLICK > SELECT: AMC Artisan Films > CLICK > CLICK > SELECT: 2019 > CLICK > CLICK > TYPE: india > CLICK > CLICK > TYPE: 400 > CLICK > SELECT: UFC > CLICK > CLICK > CLICK > CLICK > TYPE: 500 > TYPE: mexican > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: 5:00 PM > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: 1 guest > CLICK
2	> CLICK > HOVER > CLICK > CLICK > CLICK > CLICK > HOVER > CLICK > TYPE: Nintendo Switch > TYPE: Leeds > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: NAPA VALLEY > TYPE: south station > SELECT: PC > CLICK > CLICK > TYPE: houston > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: Sort by Score > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: Wineries > TYPE: north station > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: 08 > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: New > CLICK > SELECT: Most recent > CLICK > CLICK > CLICK > SELECT: 10:00 AM > SELECT: 23 > CLICK > SELECT: 4 guests > CLICK > CLICK > CLICK > SELECT: 2 > CLICK > CLICK 15 > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: New > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: New > CLICK > CLICK > CLICK > CLICK > CLICK
3	> CLICK > HOVER > TYPE: New York City > CLICK > CLICK > CLICK > CLICK > HOVER > CLICK > TYPE: edinburg > TYPE: projectors > TYPE: Allan > CLICK > CLICK > CLICK > CLICK > TYPE: nevada city > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Smith > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: bhz > TYPE: HONOLULU > TYPE: James > TYPE: manchester > CLICK > TYPE: allan.smith@gmail.com > CLICK > TYPE: Boston > CLICK > CLICK > CLICK > CLICK > TYPE: Smith > CLICK > TYPE: allan.smith@gmail.com > CLICK > CLICK > CLICK > TYPE: ewn > CLICK > TYPE: 123st rd > CLICK > TYPE: 10001 > CLICK > SELECT: June 2023 > CLICK > CLICK > TYPE: abc@abc.com > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: 11:00 AM > CLICK > CLICK > HOVER > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: June 2023 > CLICK > CLICK > SELECT: 17 > CLICK > TYPE: lin.lon@gmail.com > CLICK > SELECT: 1:00 PM > TYPE: lin.lon@gmail.com > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK
4	> TYPE: Brooklyn > HOVER > CLICK > TYPE: gorillaz > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: 10001 > TYPE: 12345678 > CLICK > TYPE: 7528 East Mechanic Ave. Fargo, ND 58102 > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: Friday, April 7 > CLICK > ENTER > CLICK  High > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK  High > TYPE: 200 > CLICK > CLICK > CLICK > HOVER > CLICK > CLICK Story > CLICK > SELECT: 22 > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Joe > TYPE: Bloggs > TYPE: 123456789 > CLICK
5	> CLICK > TYPE: bath towels > SELECT: AMC Grove City 14 > CLICK > CLICK > TYPE: wireless keyboard > CLICK > TYPE: gobites uno spork > CLICK > CLICK > HOVER > CLICK > CLICK > SELECT: 65 > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: Tue, Mar 28 > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: Price : low to high > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: JFK > CLICK > TYPE: 94043 > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: FREESHIP3093 > CLICK > CLICK > CLICK > TYPE: 70 > CLICK > TYPE: Seattle, WA > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Heathrow > CLICK > TYPE: Happy Birthday Love > CLICK > CLICK > CLICK > SELECT: Lowest Price > CLICK > CLICK > TYPE: Stuart Bloom > CLICK > CLICK > CLICK > TYPE: 04/19/2023 > CLICK > TYPE: Denise > CLICK > CLICK > CLICK > TYPE: Bloom > CLICK > TYPE: Heathrow > CLICK > TYPE: denise.bloom@bbt.com > CLICK > CLICK > CLICK > TYPE: Debbi > CLICK > CLICK > TYPE: Wolowitz > TYPE: CDG > CLICK > TYPE: debbi.wo@bbt.com > CLICK > TYPE: 123456789 > CLICK > TYPE: 04/21/2023 > TYPE: 01 > CLICK > CLICK > SELECT: 2024 > CLICK > TYPE: 123 > TYPE: CDG > CLICK > CLICK > TYPE: JFK > CLICK > TYPE: 04/23/2023 > CLICK > SELECT: Total travel time
6	> TYPE: SPRINGFIELD > CLICK > TYPE: Ali Wong > CLICK > TYPE: Jerry Trainor > CLICK > CLICK > TYPE: headphones > CLICK > TYPE: mens hiking shoes > HOVER > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: San Francisco > CLICK > CLICK > CLICK > CLICK > TYPE: AUSTIN > CLICK > CLICK > CLICK > CLICK > SELECT: Colorado > CLICK > CLICK 25 > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: Couple > CLICK  High > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: Yes > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK
7	> HOVER > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: BERLIN > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: New York, United States, 100 > CLICK > CLICK > TYPE: national university of singapore > CLICK > CLICK > CLICK > CLICK > TYPE: washington > TYPE: las vegas > CLICK > ENTER > CLICK > CLICK > CLICK > CLICK > TYPE: ZURICH > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Top Hip Hop > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: 08 > CLICK > TYPE: 45201 > CLICK > SELECT: 4 Guests > CLICK > CLICK > SELECT: 00 > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: 11:00 AM > CLICK > CLICK > CLICK > CLICK > SELECT: 11:00 AM > CLICK > CLICK > CLICK > TYPE: washington > CLICK > CLICK > SELECT: Most recent > CLICK > SELECT: Distance from landmark > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: jacksparrow@gmail.com > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK
8	> CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Selena Gomez > CLICK > CLICK > HOVER > CLICK > CLICK > CLICK > TYPE: orlando > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Cincinnati > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: OH > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: 9:00 AM > CLICK > CLICK > CLICK > CLICK > TYPE: belo horizonte > CLICK > CLICK > SELECT: 9:00 AM > CLICK > CLICK > TYPE: Love > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: buenos aires > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK
9	> TYPE: wall art > CLICK > CLICK > TYPE: Tsiakkos & Charcoal > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: addis ababa > CLICK > CLICK > TYPE: Athens > CLICK > TYPE: Santa Fe > CLICK > CLICK > TYPE: Manchester > TYPE: Kevin Durant > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: accra > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: columbus > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: new orleans > CLICK > CLICK > CLICK > CLICK > SELECT: 10 > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > SELECT: Business or First > CLICK
10	> CLICK > CLICK > HOVER > CLICK > CLICK > CLICK > TYPE: nba2k23 > CLICK > TYPE: Santa Fe > CLICK > HOVER > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Golden State Warriors > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: Phoenix > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: new york > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK > TYPE: london > CLICK > CLICK > CLICK > CLICK > CLICK > CLICK
