task_id,traj_id,step_id,event
1,0,1,OPEN_REPORTS
1,0,2,OPEN_BESTSELLERS
1,0,3,SET_PERIOD_DAY
1,0,4,SET_FROM_2022Q1
1,0,5,SET_TO_2022Q1
1,0,6,CLICK_SHOW_REPORT
1,0,7,SCROLL_RESULTS
1,0,8,EXTRACT_TOP1_BRAND
1,1,1,OPEN_REPORTS
1,1,2,OPEN_BESTSELLERS
1,1,3,SET_FROM_2022Q1
1,1,4,SET_TO_2022Q1
1,1,5,CLICK_SHOW_REPORT
1,1,6,EXTRACT_TOP1_BRAND
1,2,1,OPEN_REPORTS
1,2,2,OPEN_BESTSELLERS
1,2,3,SET_PERIOD_DAY
1,2,4,SET_FROM_2022Q1
1,2,5,SET_TO_2022Q1
1,2,6,CLICK_SHOW_REPORT
1,2,7,SCROLL_RESULTS
1,2,8,EXTRACT_TOP1_BRAND
1,3,1,OPEN_REPORTS
1,3,2,OPEN_BESTSELLERS
1,3,3,SET_FROM_2022Q1
1,3,4,SET_TO_2022Q1
1,3,5,CLICK_SHOW_REPORT
1,3,6,EXTRACT_TOP1_BRAND
1,4,1,OPEN_REPORTS
1,4,2,OPEN_BESTSELLERS
1,4,3,SET_FROM_2022Q1
1,4,4,SET_TO_2022Q1
1,4,5,CLICK_SHOW_REPORT
1,4,6,SCROLL_RESULTS
1,4,7,EXTRACT_TOP1_BRAND
