timestamp,event_type,details,sequence_id
2024-01-01 00:00:01,> HOVER,[link]  NBA -> HOVER,seq_1
2024-01-01 00:00:02,> CLICK,[link]  Scores -> CLICK,seq_1
2024-01-01 00:00:03,> CLICK,[span]  Mon -> CLICK,seq_1
2024-01-02 00:00:01,> CLICK,[button]  Fares  -> CLICK,seq_2
2024-01-02 00:00:02,> CLICK,[link]  Fares Overview -> CLICK,seq_2
2024-01-02 00:00:03,> TYPE: south station,[combobox]  Enter a location -> TYPE: south station,seq_2
2024-01-02 00:00:04,> CLICK,[link]   T red line silver line commuter rail Zone 1A Sout... -> CLICK,seq_2
2024-01-02 00:00:05,> TYPE: north station,[combobox]  Enter a location -> TYPE: north station,seq_2
2024-01-02 00:00:06,> CLICK,[link]   T orange line green line D green line E commuter ... -> CLICK,seq_2
2024-01-02 00:00:07,> CLICK,[button]  Calculate my fare -> CLICK,seq_2
2024-01-03 00:00:01,> TYPE: New York City,[textbox]  Where? -> TYPE: New York City,seq_3
2024-01-03 00:00:02,> CLICK,"[div]  New York City, NY -> CLICK",seq_3
2024-01-03 00:00:03,> CLICK,[textbox]  When? -> CLICK,seq_3
2024-01-03 00:00:04,> CLICK,[li]  Spring -> CLICK,seq_3
2024-01-03 00:00:05,> CLICK,[button]  SEARCH DEALS -> CLICK,seq_3
2024-01-04 00:00:01,> CLICK,[link]  Vacations -> CLICK,seq_4
2024-01-04 00:00:02,> CLICK,[link]  Beach Vacation Deals 95 DEALS -> CLICK,seq_4
2024-01-04 00:00:03,> CLICK,[button]  Filter -> CLICK,seq_4
2024-01-04 00:00:04,> CLICK,[button]  Highest Rated -> CLICK,seq_4
2024-01-04 00:00:05,> CLICK,[button]  Adults-Only -> CLICK,seq_4
2024-01-04 00:00:06,> CLICK,[button]  Romantic -> CLICK,seq_4
2024-01-04 00:00:07,> CLICK,[button]  DONE -> CLICK,seq_4
2024-01-04 00:00:08,> CLICK,[generic]  Go to Aspire Down Under site -> CLICK,seq_4
2024-01-05 00:00:01,> SELECT: AMC Grove City 14,[select]  AMC Grove City 14 -> SELECT: AMC Grove City 14,seq_5
2024-01-05 00:00:02,> SELECT: 65,[select]  All Movies -> SELECT: 65,seq_5
2024-01-05 00:00:03,"> SELECT: Tue, Mar 28","[select]  Sun, Mar 26 -> SELECT: Tue, Mar 28",seq_5
2024-01-05 00:00:04,> CLICK,[link]  7:30pm -> CLICK,seq_5
2024-01-05 00:00:05,> CLICK,[text]  J10 -> CLICK,seq_5
2024-01-05 00:00:06,> CLICK,[text]  J9 -> CLICK,seq_5
2024-01-05 00:00:07,> CLICK,[text]  J8 -> CLICK,seq_5
2024-01-05 00:00:08,> CLICK,[text]  J7 -> CLICK,seq_5
2024-01-05 00:00:09,> CLICK,[svg]   -> CLICK,seq_5
2024-01-06 00:00:01,> TYPE: Ali Wong,[textbox]  Search TV Shows and Movies... -> TYPE: Ali Wong,seq_6
2024-01-06 00:00:02,> CLICK,[div]  Ali Wong: Hard Knock Wife -> CLICK,seq_6
2024-01-06 00:00:03,> CLICK,[a]   -> CLICK,seq_6
2024-01-07 00:00:01,> CLICK,[link]  What to Watch on Netflix -> CLICK,seq_7
2024-01-07 00:00:02,> CLICK,[button]  Filter -> CLICK,seq_7
2024-01-07 00:00:03,> CLICK,[button]  Documentary -> CLICK,seq_7
2024-01-07 00:00:04,> CLICK,[button]  View Results -> CLICK,seq_7
2024-01-08 00:00:01,> CLICK,[div]  Events & Activities -> CLICK,seq_8
2024-01-08 00:00:02,> CLICK,[input]   -> CLICK,seq_8
2024-01-08 00:00:03,> CLICK,[button]  Spain -> CLICK,seq_8
2024-01-08 00:00:04,> CLICK,[button]  All cities -> CLICK,seq_8
2024-01-08 00:00:05,> CLICK,[button]  Go! -> CLICK,seq_8
2024-01-08 00:00:06,> CLICK,[input]   -> CLICK,seq_8
2024-01-08 00:00:07,> CLICK,[div]  All dates -> CLICK,seq_8
2024-01-08 00:00:08,> CLICK,[span]   -> CLICK,seq_8
2024-01-08 00:00:09,> CLICK,[span]  1 -> CLICK,seq_8
2024-01-08 00:00:10,> CLICK,[div]  Sort by -> CLICK,seq_8
2024-01-08 00:00:11,> CLICK,[div]  Top rated -> CLICK,seq_8
2024-01-08 00:00:12,> CLICK,[link]  Get tickets -> CLICK,seq_8
2024-01-08 00:00:13,> CLICK,[p]  Number of Travellers -> CLICK,seq_8
2024-01-08 00:00:14,> CLICK,[img]   -> CLICK,seq_8
2024-01-08 00:00:15,> CLICK,[button]  Check availability -> CLICK,seq_8
2024-01-08 00:00:16,> CLICK,[img]   -> CLICK,seq_8
2024-01-08 00:00:17,> CLICK,[li]  English - Guide -> CLICK,seq_8
2024-01-08 00:00:18,> CLICK,[button]  Select and Checkout -> CLICK,seq_8
2024-01-09 00:00:01,> CLICK,[div]  Car Hire -> CLICK,seq_9
2024-01-09 00:00:02,> TYPE: Athens,[textbox]  I need a car in -> TYPE: Athens,seq_9
2024-01-09 00:00:03,> CLICK,"[button]  Athens Airport (ATH) Athens, Greece -> CLICK",seq_9
2024-01-09 00:00:04,> CLICK,[div]  Apr -> CLICK,seq_9
2024-01-09 00:00:05,> CLICK,[generic]  1 -> CLICK,seq_9
2024-01-09 00:00:06,> CLICK,[generic]  3 -> CLICK,seq_9
2024-01-09 00:00:07,> CLICK,[button]  Let's go -> CLICK,seq_9
2024-01-09 00:00:08,> CLICK,[span]   -> CLICK,seq_9
2024-01-10 00:00:01,> CLICK,[menuitem]  Women -> CLICK,seq_10
2024-01-10 00:00:02,> CLICK,[link]  Sports Bras -> CLICK,seq_10
2024-01-10 00:00:03,> CLICK,[div]  Color -> CLICK,seq_10
2024-01-10 00:00:04,> CLICK,[link]  Refine by color: Black -> CLICK,seq_10
2024-01-10 00:00:05,> CLICK,[button]  Add to Wish List -> CLICK,seq_10
2024-01-10 00:00:06,> CLICK,[button]  Add to Wish List -> CLICK,seq_10
2024-01-10 00:00:07,> CLICK,[button]  Add to Wish List -> CLICK,seq_10
2024-01-11 00:00:01,> CLICK,[link]  Rent My Parking Space -> CLICK,seq_11
2024-01-11 00:00:02,> TYPE: James,[textbox]  First Name * -> TYPE: James,seq_11
2024-01-11 00:00:03,> TYPE: Smith,[textbox]  Last Name * -> TYPE: Smith,seq_11
2024-01-11 00:00:04,> TYPE: buckeye.foobar@gmail.com,[textbox]  Email * -> TYPE: buckeye.foobar@gmail.com,seq_11
2024-01-11 00:00:05,> TYPE: 8888888888,[textbox]  Phone * -> TYPE: 8888888888,seq_11
2024-01-11 00:00:06,> SELECT: Chicago,[combobox]  Market: * -> SELECT: Chicago,seq_11
2024-01-11 00:00:07,> TYPE: 123rd st,[textbox]  Spot Address: * -> TYPE: 123rd st,seq_11
2024-01-11 00:00:08,> HOVER,[button]  Submit -> HOVER,seq_11
2024-01-12 00:00:01,> CLICK,[link]  View All Airports -> CLICK,seq_12
2024-01-12 00:00:02,> CLICK,[link]  Reserve Now -> CLICK,seq_12
2024-01-12 00:00:03,> CLICK,[textbox]  Select Start Date -> CLICK,seq_12
2024-01-12 00:00:04,> CLICK,[gridcell]  Thu Apr 20 2023 -> CLICK,seq_12
2024-01-12 00:00:05,> CLICK,[textbox]  Select End Date -> CLICK,seq_12
2024-01-12 00:00:06,> CLICK,[gridcell]  Sun Apr 23 2023 -> CLICK,seq_12
2024-01-12 00:00:07,> CLICK,[link]  Search -> CLICK,seq_12
2024-01-13 00:00:01,> CLICK,[tab]  Flights -> CLICK,seq_13
2024-01-13 00:00:02,> CLICK,[tab]  One-way -> CLICK,seq_13
2024-01-13 00:00:03,> CLICK,[button]  1 traveler -> CLICK,seq_13
2024-01-13 00:00:04,> CLICK,[img]  Increase adults -> CLICK,seq_13
2024-01-13 00:00:05,> CLICK,[button]  2 travelers -> CLICK,seq_13
2024-01-13 00:00:06,> CLICK,[img]  Increase children -> CLICK,seq_13
2024-01-13 00:00:07,> CLICK,[img]  Increase infants -> CLICK,seq_13
2024-01-13 00:00:08,> SELECT: 4,[combobox]  Child 1 age -> SELECT: 4,seq_13
2024-01-13 00:00:09,> SELECT: Under 1,[combobox]  Infant 1 age -> SELECT: Under 1,seq_13
2024-01-13 00:00:10,> CLICK,[button]  Done -> CLICK,seq_13
2024-01-13 00:00:11,> CLICK,[button]  Preferred flight class Economy -> CLICK,seq_13
2024-01-13 00:00:12,> CLICK,[menuitem]  First class -> CLICK,seq_13
2024-01-13 00:00:13,> CLICK,"[button]  Departing April 5, 2023 -> CLICK",seq_13
2024-01-13 00:00:14,> CLICK,"[button]  May 27, 2023 -> CLICK",seq_13
2024-01-13 00:00:15,> CLICK,[button]  Done : (Save changes and close the date picker.) -> CLICK,seq_13
2024-01-13 00:00:16,> CLICK,[button]  Leaving from -> CLICK,seq_13
2024-01-13 00:00:17,> TYPE: jfk,[textbox]  Leaving from -> TYPE: jfk,seq_13
2024-01-13 00:00:18,> CLICK,"[button]  New York (JFK - John F. Kennedy Intl.) New York, U... -> CLICK",seq_13
2024-01-13 00:00:19,> CLICK,[button]  Going to -> CLICK,seq_13
2024-01-13 00:00:20,> TYPE: heathrow,[textbox]  Going to -> TYPE: heathrow,seq_13
2024-01-13 00:00:21,> CLICK,[button]  London (LHR - Heathrow) United Kingdom -> CLICK,seq_13
2024-01-13 00:00:22,> CLICK,[button]  Search -> CLICK,seq_13
2024-01-14 00:00:01,> HOVER,[link]  Shop by category∨ -> HOVER,seq_14
2024-01-14 00:00:02,> CLICK,[link]  Audio Books -> CLICK,seq_14
2024-01-14 00:00:03,> CLICK,[link]  Fiction -> CLICK,seq_14
2024-01-14 00:00:04,"> SELECT: Price, low to high","[select]  Most popular -> SELECT: Price, low to high",seq_14
2024-01-15 00:00:01,> CLICK,[link]  Bestsellers -> CLICK,seq_15
2024-01-15 00:00:02,> SELECT: US$20 to US$40,[select]  All -> SELECT: US$20 to US$40,seq_15
2024-01-15 00:00:03,> SELECT: In stock (53476),[select]  All -> SELECT: In stock (53476),seq_15
2024-01-15 00:00:04,> SELECT: Digital,[select]  All -> SELECT: Digital,seq_15
2024-01-15 00:00:05,> SELECT: French (299),[select]  All -> SELECT: French (299),seq_15
2024-01-15 00:00:06,> CLICK,[button]  Refine results -> CLICK,seq_15
2024-01-16 00:00:01,> CLICK,[span]  Flight + Hotel -> CLICK,seq_16
2024-01-16 00:00:02,> TYPE: SHANGHAI,[textbox]  Where from? -> TYPE: SHANGHAI,seq_16
2024-01-16 00:00:03,> CLICK,"[div]  Shanghai, China -> CLICK",seq_16
